NO	session	age	sex	city	affiliation	info	Q2.1	Q2.2	Q2.3	Q3.1	Q3.1group	Q3.2a	Q3.2b	Q3.2c	Q3.3a	Q3.3b	Q3.3c	Q3.4a	Q3.4b	Q3.4c	Q3.5a	Q3.5b	Q3.5c	Q4.1	Q4.2	Q4.3	Q4.4	Q4.5	Q4.6	Q4.7a	Q4.7b	Q4.7c	Q5.1	Q5.2	Q5.3	Q5.4	Q5.5	Q6.1	Q6.2	Q6.3	Q6.3.1.1	Q6.3.1.2	Q6.3.1.3	Q6.3.1.4	Q6.3.1.5	Q6.3.2.1	Q6.3.2.2	Q6.3.2.3	Q6.3.2.4
871	2	19	3	"Bandung"	"Gibbonesia"	3	"Permusuhan antara manusia dan satwa"	"Kupu-kupu"	"Serangga"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
872	2	39	1	"Bogor"	"Umum"	3	"Tidak menjawab"	"Tidak menjawab"	"Tidak menjawab"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
873	2	23	1	"Nganjuk"	"Universitas Airlangga"	3	"suatu interaksi negatif secara langsung maupun tidak langsung yang berpengaruh pada kehidupan manusia dan satwa liar"	"ular"	"ular"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
874	2	34	2	"Jakarta"	"Universitas Muhammadiyah Prof Dr. Hamka"	2	"Adanya suatu hubungan yang terganggu dan mengganggu mengakibatkan kerugian salah satu pihak."	"Monyet ekor panjang, gajah, harimau"	"Sebenarnya satwa liar tidak mengganggu manusia,  jika habitatnya tidak tergusur dengan manusia."	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
875	2	61	2	"Bogor"	"Yayasan RMI"	3	"Sudah saling tumpang tindih"	"Monyet dan manusia"	"Monyet"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
876	2	32	1	"Kota Bogor"	"IPB"	3	"Interaksi manusia dan satwa liar saat mencapai kondisi koeksisten yg dapat merugikan salah satu atau kedua belah pihak"	"MEP"	"Ular"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
877	2	24	1	"Depok"	"IPB"	2	"Perebutan sumber daya alam antara manusia dan satwa liar dari segi pemanfaatan ruang dan waktu"	"Orangutan, harimau, gajah"	"Harimau"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
878	2	22	1	"Jakarta Timur"	"BW Kehati"	2	"Adanya interaksi antara satwaliar dan manusia yang menimbulkan efek atau dampak negatif kepada kedua pihak, baik sosial, ekonomi, maupun habitatnya"	"yang paling terdengar dari media adalah Harimau, namun menurut saya juga ada Orangutan"	"Reptil, karena reptil tanpa sadar manusia bisa berhabitat pekarangan manusia seperti ular, dan stigma yang dimiliki oleh banyak orang adalah reptil hewan berbahaya"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
879	2	31	1	"DKI Jakarta"	"Universitas Terbuka"	3	"Konflik yg gak akan pernah selesai karena keserakahan manusia"	"Gajah, harimau, monyet/kera/orangutan"	"Secara alamiah, satwa liar gak ada yg mengganggu, manusialah yg mengganggu mereka"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
880	2	22	1	"Lima Puluh Kota"	"Universitas Andalas"	3	"Keaadaan yang terjadi ketika satwa liar berkeliaran bebas dengan manusia, hal ini umumnya di karenakan oleh manusia yang menganggu, atau pun mengancam habitat satwa"	"Harimau, Monyet, Burung"	"Babi hutan dan Harimau"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
881	2	32	2	"Aceh Selatan"	"WCS-IP"	2	"Interaksi negatif antara Manusia dan satwa liar"	"Harimau, orangutan, gajah, beruang dan satwa lainnya"	"Babi hutan"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
882	2	28	2	"Medan"	"WCS-IP"	2	"Interaksi yang menimbulkan dampak negatif baik bagi manusia dan atau satwa liar"	"Mammalia"	"Primata"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
883	2	39	1	"Bekasi"	"Prodi Magister Biologi UNAS"	2	"ketidakselarasan dalam menggunakan/memanfaatkan lingkungan seperti sumber daya"	"Harimau, gajah, orangutan, ular dll."	"Harimau, gajah, orangutan, ular"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
884	2	21	1	"Bogor"	"Universitas Nasional"	2	"Terjadinya perselisihan yang nantinya menyebabkan kerugian antar salah satu pihak atau kedua pihak"	"Ular, orangutan"	"Tidak menjawab"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
885	2	29	2	"Canterbury"	"University of Kent"	3	"Interaksi antara manusia-satwa liar yang mengakibatkan kerugian bagi pihak manusia."	"Di Indonesia: harimau, gajah, dan buaya"	"Tikus"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
